"O1","O1_pos","O1_type","O2","O2_pos","O2_type","O3","O3_pos","O3_type","O4","O4_pos","O4_type","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_object_click","correct_welcome","count_behaviourallog","count_calibration_validation","count_carrier_audio","count_drift_correction","count_experiment","count_experiment_sequence","count_goodbye","count_logvariables","count_noun_audio","count_object_click","count_preview_window","count_response_scene","count_response_screen","count_send_areas_of_interest","count_setup","count_start_recording","count_stop_recording","count_trial_sequence","count_trigger_carrieronset","count_trigger_preview","count_trigger_targetoffset","count_trigger_targetonset","count_welcome","count_write_ias","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction_audio","keyboard_backend","live_row","live_row_experiment_sequence","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_goodbye","response_object_click","response_response_scene","response_time","response_time_goodbye","response_time_object_click","response_time_response_scene","response_time_welcome","response_welcome","round_decimals","sampler_backend","set_type","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_audio","target_image","target_type","time_behaviourallog","time_calibration_validation","time_carrier_audio","time_drift_correction","time_experiment","time_experiment_sequence","time_goodbye","time_logvariables","time_noun_audio","time_object_click","time_preview_window","time_response_scene","time_response_screen","time_send_areas_of_interest","time_setup","time_start_recording","time_stop_recording","time_trial_sequence","time_trigger_carrieronset","time_trigger_preview","time_trigger_targetoffset","time_trigger_targetonset","time_welcome","time_write_ias","title","total_correct","total_response_time","total_responses","width"
"pickle.jpg","left","referent","picture.jpg","bottom","cohort","nickle.jpg","top","rhyme","speaker.jpg","right","unrelated","undefined","undefined","1907","1907","white","legacy","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","NA","0","0","0","0","0","0","0","0","NA","stim2","-50.0","-211.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-nickle.wav","legacy","0","0","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","1907.0","NA","1907","NA","13914","space","2","legacy","full","1024","2","48000","-16","experiment","17","odd","nickle.wav","O3","rhyme","56458","15785","52722","49253","1869","49199","NA","56418","53227","54477","50722","NA","54477","56418","NA","50345","NA","49253","52722","50721","54477","53227","1870","NA","VWPAllopena","0","1907.0","1","1024"
"carrot.jpg","top","referent","parrot.jpg","right","rhyme","nickle.jpg","left","unrelated","speaker.jpg","bottom","unrelated","undefined","undefined","1810","1810","white","legacy","legacy","legacy","undefined","undefined","undefined","1","0","1","1","0","0","0","1","1","1","1","NA","1","1","NA","1","1","1","1","1","1","1","0","NA","stim1","161.0","6.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-parrot.wav","legacy","1","1","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","1713.0","NA","1713","NA","13914","space","2","legacy","rhyme ","1024","2","48000","-16","experiment","17","odd","parrot.wav","O2","rhyme","64002","15785","60764","57029","1869","49199","NA","63962","61227","62247","58764","NA","62247","63962","NA","58375","56468","57028","60764","58763","62247","61227","1870","NA","VWPAllopena","0","3620.0","2","1024"
"carrot.jpg","bottom","referent","bettle.bmp","top","unrelated","speaker.jpg","right","unrelated","dolphin.jpg","left","unrelated","undefined","undefined","1873","1873","white","legacy","legacy","legacy","undefined","undefined","undefined","2","0","2","2","0","0","0","2","2","2","2","NA","2","2","NA","2","2","2","2","2","2","2","0","NA","undefined","NA","NA","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-carrot.wav","legacy","2","2","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","None","NA","None","NA","2000.0","NA","2000","NA","13914","space","2","legacy","unrelated","1024","2","48000","-16","experiment","17","odd","carrot.wav","O1","referent","73438","15785","69530","64552","1869","49199","NA","73398","70097","71398","67530","NA","71398","73398","NA","67154","64009","64552","69530","67529","71397","70096","1870","NA","VWPAllopena","0","5620.0","3","1024"
"sandal.bmp","bottom","referent","sandwich.jpg","top","cohort","collar.bmp","right","unrelated","beaker.jpg","left","unrelated","undefined","undefined","1802","1802","white","legacy","legacy","legacy","undefined","undefined","undefined","3","0","3","3","0","0","0","3","3","3","3","NA","3","3","NA","3","3","3","3","3","3","3","0","NA","stim0","-33.0","194.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-sandal.wav","legacy","3","3","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","1589.0","NA","1589","NA","13914","space","2","legacy","cohort","1024","2","48000","-16","experiment","17","odd","sandal.wav","O1","referent","81138","15785","77719","74054","1869","49199","NA","81098","78227","79507","75719","NA","79507","81098","NA","75331","73445","74054","77719","75718","79506","78227","1870","NA","VWPAllopena","0","7209.0","4","1024"
"paddle.jpg","left","referent","saddle.jpg","bottom","rhyme","casket.jpg","top","unrelated","beaker.jpg","right","unrelated","undefined","undefined","1795","1795","white","legacy","legacy","legacy","undefined","undefined","undefined","4","0","4","4","0","0","0","4","4","4","4","NA","4","4","NA","4","4","4","4","4","4","4","0","NA","stim0","-148.0","-15.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-paddle.wav","legacy","4","4","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","1767.0","NA","1767","NA","13914","space","2","legacy","rhyme","1024","2","48000","-16","experiment","17","odd","paddle.wav","O1","referent","89427","15785","86131","81693","1869","49199","NA","89386","86677","87617","84131","NA","87617","89386","NA","83739","81139","81693","86131","84130","87617","86677","1870","NA","VWPAllopena","0","8976.0","5","1024"
"beaker.jpg","top","referent","bettle.bmp","right","cohort","speaker.jpg","left","rhyme","dolphin.jpg","bottom","unrelated","undefined","undefined","1712","1712","white","legacy","legacy","legacy","undefined","undefined","undefined","5","0","5","5","0","0","0","5","5","5","5","NA","5","5","NA","5","5","5","5","5","5","5","0","NA","stim1","204.0","-40.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-beaker.wav","legacy","5","5","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","1299.0","NA","1299","NA","13914","space","2","legacy","full","1024","2","48000","-16","experiment","17","odd","beaker.wav","O1","referent","96659","15785","93714","89977","1869","49199","NA","96618","94247","95317","91714","NA","95317","96618","NA","91328","89434","89977","93714","91713","95317","94247","1870","NA","VWPAllopena","0","10275.0","6","1024"
"dolphin.jpg","left","referent","dollar.jpg","bottom","cohort","sandwich.jpg","top","unrelated","parrot.jpg","right","unrelated","undefined","undefined","1577","1577","white","legacy","legacy","legacy","undefined","undefined","undefined","6","0","6","6","0","0","0","6","6","6","6","NA","6","6","NA","6","6","6","6","6","6","6","0","NA","stim0","-159.0","-15.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-dolphin.wav","legacy","6","6","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","770.0","NA","770","NA","13914","space","2","legacy","cohort","1024","2","48000","-16","experiment","17","odd","dolphin.wav","O1","referent","103891","15785","101466","97203","1869","49199","NA","103850","101927","103078","99466","NA","103078","103850","NA","99075","96666","97203","101466","99465","103077","101927","1870","NA","VWPAllopena","0","11045.0","7","1024"
"candle.jpg","bottom","referent","candy.jpg","top","cohort","handle.bmp","right","rhyme","dollar.jpg","left","unrelated","undefined","undefined","1540","1540","white","legacy","legacy","legacy","undefined","undefined","undefined","7","0","7","7","0","0","0","7","7","7","7","NA","7","7","NA","7","7","7","7","7","7","7","0","NA","","-17.0","-85.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-dollar.wav","legacy","7","7","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","1282.0","NA","1282","NA","13914","space","2","legacy","full","1024","2","48000","-16","experiment","17","odd","dollar.wav","O4","unrelated","112763","15785","109948","104433","1869","49199","NA","112722","110377","111438","107948","NA","111438","112722","NA","107561","103898","104433","109948","107946","111437","110377","1870","NA","VWPAllopena","0","12327.0","8","1024"
"paddle.jpg","right","referent","padlock.bmp","left","cohort","basket.jpg","bottom","unrelated","nickle.jpg","top","unrelated","undefined","undefined","1514","1514","white","legacy","legacy","legacy","undefined","undefined","undefined","8","0","8","8","0","0","0","8","8","8","8","NA","8","8","NA","8","8","8","8","8","8","8","0","NA","stim1","-210.0","-27.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-padlock.wav","legacy","8","8","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","1306.0","NA","1306","NA","13914","space","2","legacy","cohort","1024","2","48000","-16","experiment","17","odd","padlock.wav","O2","cohort","121107","15785","118169","113324","1869","49199","NA","121066","118567","119758","116169","NA","119758","121066","NA","115784","112770","113324","118169","116168","119757","118567","1870","NA","VWPAllopena","0","13633.0","9","1024"
"dollar.jpg","top","referent","sandwich.jpg","right","unrelated","candle.jpg","left","unrelated","bettle.bmp","bottom","unrelated","undefined","undefined","1433","1433","white","legacy","legacy","legacy","undefined","undefined","undefined","9","0","9","9","0","0","0","9","9","9","9","NA","9","9","NA","9","9","9","9","9","9","9","0","NA","stim1","225.0","14.0","Tue Jul  9 17:45:09 2024","The main experiment item","False","VWPAllopena (1).osexp","C:\Users\eyelink\Downloads","False","mono","False","18","no","black","no","yes","768","pick-up-sandwich.wav","legacy","9","9","C:/Users/eyelink/Downloads/subject-17.csv","legacy","Melodramatic Milgram","4.0.24","0","1","NA","1","NA","699.0","NA","699","NA","13914","space","2","legacy","unrelated","1024","2","48000","-16","experiment","17","odd","sandwich.wav","O2","unrelated","129139","15785","126400","121670","1869","49199","NA","129098","126847","128397","124400","NA","128397","129098","NA","124005","121114","121669","126400","124398","128396","126847","1870","NA","VWPAllopena","0","14332.0","10","1024"
