RECORDING_SESSION_LABEL,TRIAL_LABEL,TRIAL_INDEX,BIN_INDEX,AVERAGE_BLINK_SAMPLE_COUNT,AVERAGE_BLINK_SAMPLE_COUNT_%,AVERAGE_EXCLUDED_SAMPLE_COUNT,AVERAGE_EXCLUDED_SAMPLE_COUNT_%,AVERAGE_GAZE_X_BIN,AVERAGE_GAZE_Y_BIN,AVERAGE_IA_1_SAMPLE_COUNT,AVERAGE_IA_2_SAMPLE_COUNT,AVERAGE_IA_3_SAMPLE_COUNT,AVERAGE_IA_4_SAMPLE_COUNT,AVERAGE_IA_0_SAMPLE_COUNT,AVERAGE_IA_1_SAMPLE_COUNT_%,AVERAGE_IA_2_SAMPLE_COUNT_%,AVERAGE_IA_3_SAMPLE_COUNT_%,AVERAGE_IA_4_SAMPLE_COUNT_%,AVERAGE_IA_0_SAMPLE_COUNT_%,AVERAGE_OFF_SCREEN_SAMPLE_COUNT,AVERAGE_OFF_SCREEN_SAMPLE_COUNT_%,AVERAGE_PUPIL_SIZE_BIN,BIN_DURATION,BIN_END_TIME,BIN_SAMPLE_COUNT,BIN_START_TIME,EYE_TRACKED,GROUPING_VARIABLES,HTARGET_DISTANCE_BIN,HTARGET_X_BIN,HTARGET_Y_BIN,IA_1_ID,IA_2_ID,IA_3_ID,IA_4_ID,IA_0_ID,IP_DURATION,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,LEFT_BLINK_SAMPLE_COUNT,LEFT_BLINK_SAMPLE_COUNT_%,LEFT_EXCLUDED_SAMPLE_COUNT,LEFT_EXCLUDED_SAMPLE_COUNT_%,LEFT_GAZE_X_BIN,LEFT_GAZE_Y_BIN,LEFT_IA_1_SAMPLE_COUNT,LEFT_IA_2_SAMPLE_COUNT,LEFT_IA_3_SAMPLE_COUNT,LEFT_IA_4_SAMPLE_COUNT,LEFT_IA_0_SAMPLE_COUNT,LEFT_IA_1_SAMPLE_COUNT_%,LEFT_IA_2_SAMPLE_COUNT_%,LEFT_IA_3_SAMPLE_COUNT_%,LEFT_IA_4_SAMPLE_COUNT_%,LEFT_IA_0_SAMPLE_COUNT_%,LEFT_OFF_SCREEN_SAMPLE_COUNT,LEFT_OFF_SCREEN_SAMPLE_COUNT_%,LEFT_PUPIL_SIZE_BIN,RESOLUTION_X_BIN,RESOLUTION_Y_BIN,RIGHT_BLINK_SAMPLE_COUNT,RIGHT_BLINK_SAMPLE_COUNT_%,RIGHT_EXCLUDED_SAMPLE_COUNT,RIGHT_EXCLUDED_SAMPLE_COUNT_%,RIGHT_GAZE_X_BIN,RIGHT_GAZE_Y_BIN,RIGHT_IA_1_SAMPLE_COUNT,RIGHT_IA_2_SAMPLE_COUNT,RIGHT_IA_3_SAMPLE_COUNT,RIGHT_IA_4_SAMPLE_COUNT,RIGHT_IA_0_SAMPLE_COUNT,RIGHT_IA_1_SAMPLE_COUNT_%,RIGHT_IA_2_SAMPLE_COUNT_%,RIGHT_IA_3_SAMPLE_COUNT_%,RIGHT_IA_4_SAMPLE_COUNT_%,RIGHT_IA_0_SAMPLE_COUNT_%,RIGHT_OFF_SCREEN_SAMPLE_COUNT,RIGHT_OFF_SCREEN_SAMPLE_COUNT_%,RIGHT_PUPIL_SIZE_BIN,SAMPLE_INTERVAL,SAMPLING_RATE,TRIAL_START_TIME,clicked,d_pos,dist,distractor,feedback,fluency,honesty,nativeness,rt,sentence_time,t_pos,targ,target,trialtype
sub_1,Trial: 19,1,0,0,0,0,0,518.34,297.06,0,0,0,0,10,0,0,0,0,1,0,0,4051.7,20,18,10,0,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,518.34,297.06,0,0,0,0,10,0,0,0,0,1,0,0,4051.7,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,1,0,0,0,0,519.38,296.61,0,0,0,0,10,0,0,0,0,1,0,0,4072.4,20,38,10,20,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,519.38,296.61,0,0,0,0,10,0,0,0,0,1,0,0,4072.4,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,2,0,0,0,0,520.06,296.84,0,0,0,0,10,0,0,0,0,1,0,0,4076.6,20,58,10,40,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,520.06,296.84,0,0,0,0,10,0,0,0,0,1,0,0,4076.6,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,3,0,0,0,0,520.45,297.71,0,0,0,0,10,0,0,0,0,1,0,0,4083.6,20,78,10,60,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,520.45,297.71,0,0,0,0,10,0,0,0,0,1,0,0,4083.6,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,4,0,0,0,0,520.99,299.2,0,0,0,0,10,0,0,0,0,1,0,0,4094.7,20,98,10,80,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,520.99,299.2,0,0,0,0,10,0,0,0,0,1,0,0,4094.7,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,5,0,0,0,0,521.65,298.96,0,0,0,0,10,0,0,0,0,1,0,0,4104.5,20,118,10,100,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,521.65,298.96,0,0,0,0,10,0,0,0,0,1,0,0,4104.5,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,6,0,0,0,0,522.03,298.03,0,0,0,0,10,0,0,0,0,1,0,0,4113.8,20,138,10,120,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,522.03,298.03,0,0,0,0,10,0,0,0,0,1,0,0,4113.8,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,7,0,0,0,0,522.5,297.51,0,0,0,0,10,0,0,0,0,1,0,0,4120.4,20,158,10,140,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,522.5,297.51,0,0,0,0,10,0,0,0,0,1,0,0,4120.4,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,8,0,0,0,0,522.69,297.77,0,0,0,0,10,0,0,0,0,1,0,0,4129.1,20,178,10,160,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,522.69,297.77,0,0,0,0,10,0,0,0,0,1,0,0,4129.1,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
sub_1,Trial: 19,1,9,0,0,0,0,523.94,297.9,0,0,0,0,10,0,0,0,0,1,0,0,4136.4,20,198,10,180,Right,RECORDING_SESSION,.,.,.,1: DISTRACTOR,2: TARGET,.,.,0: NULL,1775,FALSE,8440500,1,nounonset_end,TRUE,8438725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36.6,36.3,0,0,0,0,523.94,297.9,0,0,0,0,10,0,0,0,0,1,0,0,4136.4,2,500,8435021,DISTRACTOR,(-256,,,,,,,,,,,,
